threshold,cloningTime,versionedTime,persistentTime,coloredTime
121.11633,175,180,164,70
121.44632000000001,175,180,164,70
121.77631000000001,175,180,164,70
122.1063,175,180,164,70
122.43629000000001,175,180,164,70
122.76628000000001,175,180,164,70
123.09627,175,180,164,70
123.42626000000001,175,180,164,70
123.75625000000001,175,180,164,70
124.08624,175,180,164,70
124.41623000000001,175,181,164,70
124.74622000000001,175,181,164,70
125.07621000000002,175,182,164,70
125.4062,175,182,164,70
125.73619000000001,176,182,164,70
126.06618000000002,176,182,164,70
126.39617,176,183,164,70
126.72616000000001,176,183,164,70
127.05615000000002,176,183,164,70
127.38614,176,184,164,70
127.71613,176,185,164,70
128.04612,176,185,164,70
128.37610999999998,176,185,164,70
128.7061,176,185,164,70
129.03609,176,185,164,70
129.36607999999998,176,185,164,70
129.69607,176,185,164,70
130.02606,176,186,164,70
130.35604999999998,176,186,164,70
130.68604,176,186,164,70
131.01603,176,186,164,70
131.34601999999998,176,187,164,70
131.67601,176,187,164,70
132.006,176,187,164,70
132.33598999999998,176,187,164,70
132.66598,176,187,164,70
132.99597,176,187,164,70
133.32595999999998,176,187,164,70
133.65595,176,187,164,70
133.98594,176,187,164,70
134.31592999999998,176,187,164,70
134.64592,176,187,164,70
134.97591,176,187,164,70
135.30589999999998,176,187,164,70
135.63589000000002,176,187,164,70
135.96588,176,187,164,70
136.29586999999998,176,187,164,70
136.62586000000002,176,187,164,70
136.95585,176,187,164,70
137.28583999999998,176,187,164,70
137.61583000000002,176,187,164,70
137.94582,176,187,164,70
138.27580999999998,176,187,164,70
138.60580000000002,176,187,164,70
138.93579,176,187,164,70
139.26577999999998,176,187,164,70
139.59577,177,187,164,70
139.92576,177,188,164,70
140.25574999999998,177,188,164,70
140.58574,178,188,164,70
140.91573,178,188,164,70
141.24572,178,188,164,70
141.57571,178,188,164,70
141.9057,178,189,164,70
142.23569,178,189,164,70
142.56568,178,189,164,70
142.89567,178,189,164,70
143.22566,178,189,164,70
143.55564999999999,178,189,164,70
143.88564,178,189,164,70
144.21563,178,189,164,70
144.54561999999999,178,189,164,70
144.87561,178,189,164,70
145.2056,178,189,164,70
145.53558999999998,178,189,164,70
145.86558,178,189,164,70
146.19557,178,189,164,70
146.52555999999998,178,189,164,70
146.85555000000002,178,189,164,70
147.18554,178,189,164,70
147.51552999999998,178,189,164,70
147.84552000000002,178,189,164,70
148.17551,178,189,164,70
148.50549999999998,178,189,164,70
148.83549,178,189,164,70
149.16548,178,189,164,70
149.49546999999998,178,189,164,70
149.82546,178,189,164,70
150.15545,178,189,164,70
150.48543999999998,178,189,164,70
150.81543,178,189,164,70
151.14542,178,189,164,70
151.47540999999998,178,189,164,70
151.8054,178,189,164,70
152.13539,178,189,164,70
152.46537999999998,178,189,164,70
152.79537,178,189,164,70
153.12536,178,189,164,70
153.45535,178,189,164,70
153.78534,178,189,164,70
154.11533,178,189,164,70
154.44532,178,189,164,70
154.77531,178,189,164,70
155.1053,178,189,164,70
155.43529,178,189,164,70
155.76528,178,189,164,70
156.09527,178,189,164,70
156.42526,178,189,164,70
156.75525,178,189,164,70
157.08523999999997,178,189,164,70
157.41523,178,189,164,70
157.74522,178,189,164,70
158.07520999999997,178,189,164,70
158.4052,178,189,164,70
158.73519,178,189,164,70
159.06518,178,189,164,70
159.39517,178,189,164,70
159.72516,178,189,164,70
160.05515,178,189,164,70
160.38514,178,189,164,70
160.71513,178,189,164,70
161.04512,178,189,164,70
161.37511,178,189,164,70
161.7051,178,189,164,70
162.03509,178,189,164,70
162.36508,178,189,164,70
162.69507,178,189,164,70
163.02506,178,189,164,70
163.35505,178,189,164,70
163.68504,178,189,164,70
164.01503,178,189,164,70
164.34502,178,189,164,70
164.67501,178,189,164,70
165.005,178,189,164,70
165.33498999999998,178,189,164,70
165.66498,178,189,164,70
165.99497,178,189,164,70
166.32495999999998,178,189,164,70
166.65495,178,189,164,70
166.98494,179,189,164,70
167.31492999999998,180,189,164,70
167.64492,180,189,164,70
167.97491,180,189,164,70
168.30489999999998,180,189,164,70
168.63489,180,189,164,70
168.96488,180,189,164,70
169.29486999999997,180,189,164,70
169.62486,180,189,164,70
169.95485,180,189,164,70
170.28483999999997,181,189,164,70
170.61483,181,189,164,70
170.94482,181,189,164,70
