threshold,cloningMemory,versionedMemory,persistentMemory,coloredMemory
5.53483,185,189,164,70
5.57002,185,189,164,70
5.6052100000000005,185,189,164,70
5.6404000000000005,185,189,164,70
5.675590000000001,185,189,164,70
5.710780000000001,185,189,164,70
5.745970000000001,185,189,164,70
5.781160000000001,185,189,164,70
5.81635,185,189,164,70
5.851540000000001,185,189,164,70
5.88673,185,189,164,70
5.921920000000001,185,189,164,70
5.95711,185,189,164,70
5.992300000000001,185,189,164,70
6.02749,185,189,164,70
6.062680000000001,185,189,164,70
6.09787,185,189,164,70
6.13306,185,189,164,70
6.1682500000000005,185,189,164,70
6.2034400000000005,185,189,164,70
6.238630000000001,185,189,164,70
6.273820000000001,185,189,164,70
6.309010000000001,185,189,164,70
6.344200000000001,185,189,164,70
6.379390000000001,185,189,164,70
6.414580000000001,185,189,164,70
6.44977,185,189,164,70
6.484960000000001,185,189,164,70
6.52015,185,189,164,70
6.555340000000001,185,189,164,70
6.59053,185,189,164,70
6.625720000000001,185,189,164,70
6.66091,185,189,164,70
6.696100000000001,185,189,164,70
6.73129,185,189,164,70
6.766480000000001,185,189,164,70
6.8016700000000005,185,189,164,70
6.836860000000001,185,189,164,70
6.872050000000001,185,189,164,70
6.907240000000001,185,189,164,70
6.942430000000001,185,189,164,70
6.977620000000001,185,189,164,70
7.012810000000001,185,189,164,70
7.048000000000001,185,189,164,70
7.083190000000001,185,189,164,70
7.118380000000001,185,189,164,70
7.15357,185,189,164,70
7.188760000000001,185,189,164,70
7.22395,185,189,164,70
7.259140000000001,185,189,164,70
7.29433,185,189,164,70
7.329520000000001,185,189,164,70
7.3647100000000005,185,189,164,70
7.3999000000000015,185,189,164,70
7.435090000000001,185,189,164,70
7.470280000000001,185,189,164,70
7.505470000000001,185,189,164,70
7.540660000000001,185,189,164,70
7.575850000000001,185,189,164,70
7.611040000000001,185,189,164,70
7.646230000000001,185,189,164,70
7.681420000000001,185,189,164,70
7.716610000000001,185,189,164,70
7.751800000000001,185,189,164,70
7.78699,185,189,164,70
7.822180000000001,185,189,164,70
7.85737,185,189,164,70
7.892560000000001,185,189,164,70
7.9277500000000005,185,189,164,70
7.9629400000000015,185,189,164,70
7.998130000000001,185,189,164,70
8.033320000000002,185,189,164,70
8.068510000000002,185,189,164,70
8.1037,185,189,164,70
8.138890000000002,185,189,164,70
8.17408,185,189,164,70
8.20927,185,189,164,70
8.24446,185,189,164,70
8.279650000000002,185,189,164,70
8.314840000000002,185,189,164,70
8.35003,185,189,164,70
8.38522,185,189,164,70
8.420410000000002,185,189,164,70
8.4556,185,189,164,70
8.49079,185,189,164,70
8.52598,185,189,164,70
8.561170000000002,185,189,164,70
8.59636,185,189,164,70
8.63155,185,189,164,70
8.66674,185,189,164,70
8.70193,185,189,164,70
8.73712,185,189,164,70
8.772310000000001,185,189,164,70
8.807500000000001,185,189,164,70
8.842690000000001,185,189,164,70
8.877880000000001,185,189,164,70
8.913070000000001,185,189,164,70
8.948260000000001,185,189,164,70
8.983450000000001,185,189,164,70
9.018640000000001,185,189,164,70
9.053830000000001,185,189,164,70
9.08902,185,189,164,70
9.124210000000001,185,189,164,70
9.159400000000002,185,189,164,70
9.194590000000002,185,189,164,70
9.22978,185,189,164,70
9.264970000000002,185,189,164,70
9.300160000000002,185,189,164,70
9.335350000000002,185,189,164,70
9.37054,185,189,164,70
9.405730000000002,185,189,164,70
9.440920000000002,185,189,164,70
9.47611,185,189,164,70
9.5113,185,189,164,70
9.546490000000002,185,189,164,70
9.581680000000002,185,189,164,70
9.61687,185,189,164,70
9.65206,185,189,164,70
9.687250000000002,185,189,164,70
9.72244,185,189,164,70
9.75763,185,189,164,70
9.79282,185,189,164,70
9.828010000000003,185,189,164,70
9.8632,185,189,164,70
