benchmark,cloning_code,cloning_secs,cloning_gb,cloning_branches,versioned_code,versioned_secs,versioned_gb,versioned_branches,persistent_code,persistent_secs,persistent_gb,persistent_branches,colored_code,colored_secs,colored_gb,colored_branches
benchmarks/clam_goal16.smt2.th,0,0.03,0.00909423828125,13.0,0,0.04,0.008575439453125,13.0,0,0.03,0.009063720703125,13.0,101,330.0,35.2,0.0
benchmarks/isaplanner_goal38.smt2.th,0,2.59,0.01824951171875,25.0,0,8.24,0.0237579345703125,25.0,0,2.04,0.0229644775390625,25.0,101,330.0,35.2,0.0
benchmarks/clam_goal14.smt2.th,0,4.39,0.0383148193359375,165.0,0,2.27,0.0148162841796875,169.0,0,3.7,0.0600433349609375,169.0,101,330.0,35.2,0.0
benchmarks/sg_clam_goal-sg23.smt2.th,0,0.82,0.0157012939453125,13.0,0,3.77,0.14044189453125,13.0,0,0.8,0.02276611328125,13.0,101,330.0,35.2,0.0
benchmarks/clam_goal62.smt2.th,0,4.53,0.0393829345703125,169.0,0,2.25,0.0153045654296875,169.0,124,300.0,33.6,0.0,101,330.0,35.2,0.0
benchmarks/isaplanner_goal77.smt2.th,0,2.68,0.0192718505859375,25.0,0,8.15,0.0230712890625,25.0,0,1.87,0.0215301513671875,25.0,101,330.0,35.2,0.0
benchmarks/isaplanner_goal80.smt2.th,0,4.57,0.0393218994140625,169.0,0,2.21,0.014801025390625,165.0,0,3.65,0.059234619140625,169.0,101,330.0,35.2,0.0
benchmarks/isaplanner_goal2.smt2.th,0,6.19,0.0229644775390625,25.0,0,0.66,0.015167236328125,25.0,0,1.95,0.0223388671875,25.0,101,330.0,35.2,0.0
benchmarks/sg_clam_goal-sg20.smt2.th,0,3.29,0.0869598388671875,13.0,0,1.19,0.02471923828125,13.0,0,5.08,0.17205810546875,13.0,101,330.0,35.2,0.0
benchmarks/clam_goal12.smt2.th,0,5.12,0.0404205322265625,13.0,0,10.03,0.0506591796875,13.0,0,4.18,0.064453125,13.0,0,21.11,0.0693817138671875,45.0
benchmarks/sg_clam_goal-sg4.smt2.th,0,8.07,0.217010498046875,13.0,0,1.19,0.02520751953125,13.0,0,0.74,0.026275634765625,13.0,0,12.67,0.0880279541015625,45.0
benchmarks/clam_goal24.smt2.th,0,0.03,0.009063720703125,13.0,0,0.05,0.008636474609375,13.0,0,0.03,0.009124755859375,13.0,101,330.0,35.2,0.0
benchmarks/clam_goal82.smt2.th,0,4.92,0.0398712158203125,13.0,0,4.55,0.0455474853515625,13.0,0,6.18,0.061553955078125,13.0,0,20.07,0.0686187744140625,45.0
benchmarks/sg_clam_goal-sg2.smt2.th,0,5.74,0.1808013916015625,13.0,0,0.93,0.0257568359375,13.0,0,0.69,0.02532958984375,13.0,0,3.2,0.02001953125,45.0
benchmarks/clam_goal75.smt2.th,0,3.82,0.0366973876953125,13.0,0,4.39,0.0502166748046875,13.0,0,3.5,0.0619659423828125,13.0,0,33.95,0.07989501953125,45.0
benchmarks/clam_goal81.smt2.th,0,4.97,0.0410919189453125,13.0,0,4.24,0.04840087890625,13.0,0,4.18,0.0605010986328125,13.0,0,33.01,0.0810546875,45.0
benchmarks/clam_goal78.smt2.th,0,3.71,0.0372772216796875,13.0,0,5.4,0.0612335205078125,13.0,0,7.52,0.08514404296875,13.0,0,19.19,0.0673675537109375,45.0
benchmarks/sg_clam_goal-sg78.smt2.th,0,4.41,0.0383453369140625,13.0,0,5.8,0.05267333984375,13.0,0,3.63,0.055419921875,13.0,0,11.7,0.0381011962890625,45.0
benchmarks/clam_goal29.smt2.th,0,3.69,0.0377655029296875,13.0,0,4.37,0.0465240478515625,13.0,0,4.03,0.0614471435546875,13.0,0,19.16,0.067596435546875,45.0
benchmarks/sg_clam_goal-sg82.smt2.th,0,3.33,0.0359039306640625,13.0,0,5.87,0.045196533203125,13.0,0,4.05,0.055816650390625,13.0,0,32.88,0.064483642578125,45.0
benchmarks/clam_goal31.smt2.th,0,3.9,0.0382232666015625,13.0,0,7.02,0.0729217529296875,13.0,0,2.89,0.049407958984375,13.0,0,19.99,0.06768798828125,45.0
benchmarks/clam_goal48.smt2.th,0,11.35,0.071380615234375,275.0,0,5.98,0.026763916015625,271.0,0,12.75,0.1204986572265625,277.0,101,330.0,35.2,0.0
benchmarks/clam_goal66.smt2.th,0,0.03,0.009002685546875,13.0,0,0.04,0.008575439453125,13.0,0,0.03,0.009063720703125,13.0,101,330.0,35.2,0.0
benchmarks/clam_goal68.smt2.th,0,11.73,0.0713348388671875,275.0,0,5.72,0.0254058837890625,283.0,0,12.62,0.12115478515625,273.0,101,330.0,35.2,0.0
benchmarks/isaplanner_goal15.smt2.th,0,12.84,0.0733184814453125,279.0,0,5.6,0.024658203125,275.0,0,13.66,0.11627197265625,277.0,101,330.0,35.2,0.0
benchmarks/sg_clam_goal-sg27.smt2.th,0,2.61,0.0296478271484375,13.0,0,3.64,0.0373992919921875,13.0,0,3.77,0.05810546875,13.0,0,10.54,0.0334320068359375,45.0
benchmarks/isaplanner_goal20.smt2.th,0,13.01,0.0737152099609375,283.0,0,5.68,0.026336669921875,263.0,0,12.19,0.1135406494140625,271.0,101,330.0,35.2,0.0
benchmarks/sg_clam_goal-sg48.smt2.th,0,9.82,0.0668487548828125,267.0,0,6.77,0.0293121337890625,279.0,0,12.05,0.112548828125,265.0,101,330.0,35.2,0.0
benchmarks/clam_goal27.smt2.th,0,4.24,0.0324554443359375,13.0,0,3.6,0.0483245849609375,13.0,0,4.08,0.056396484375,13.0,0,19.34,0.0662689208984375,45.0
